"","ID","aDC_xCell","Adipocytes_xCell","Astrocytes_xCell","B-cells_xCell","Basophils_xCell","CD4+_memory_T-cells_xCell","CD4+_naive_T-cells_xCell","CD4+_T-cells_xCell","CD4+_Tcm_xCell","CD4+_Tem_xCell","CD8+_naive_T-cells_xCell","CD8+_T-cells_xCell","CD8+_Tcm_xCell","CD8+_Tem_xCell","cDC_xCell","Chondrocytes_xCell","Class-switched_memory_B-cells_xCell","CLP_xCell","CMP_xCell","DC_xCell","Endothelial_cells_xCell","Eosinophils_xCell","Epithelial_cells_xCell","Erythrocytes_xCell","Fibroblasts_xCell","GMP_xCell","Hepatocytes_xCell","HSC_xCell","iDC_xCell","Keratinocytes_xCell","ly_Endothelial_cells_xCell","Macrophages_xCell","Macrophages_M1_xCell","Macrophages_M2_xCell","Mast_cells_xCell","Megakaryocytes_xCell","Melanocytes_xCell","Memory_B-cells_xCell","MEP_xCell","Mesangial_cells_xCell","Monocytes_xCell","MPP_xCell","MSC_xCell","mv_Endothelial_cells_xCell","Myocytes_xCell","naive_B-cells_xCell","Neurons_xCell","Neutrophils_xCell","NK_cells_xCell","NKT_xCell","Osteoblast_xCell","pDC_xCell","Pericytes_xCell","Plasma_cells_xCell","Platelets_xCell","Preadipocytes_xCell","pro_B-cells_xCell","Sebocytes_xCell","Skeletal_muscle_xCell","Smooth_muscle_xCell","Tgd_cells_xCell","Th1_cells_xCell","Th2_cells_xCell","Tregs_xCell","ImmuneScore_xCell","StromaScore_xCell","MicroenvironmentScore_xCell"
"38","TCGA-OR-A5JP-01A",0.0341205290821708,0,0.0711508460522787,2.12228892936519e-18,0.0335535216211762,3.52950060995741e-20,0,5.64626167071786e-18,0,7.7128186786317e-19,0,1.42688280419192e-20,0,1.34862925456965e-17,0.00552583266299698,1.10224834517487e-19,0.030878888965943,0.00291057689781208,0,2.84743174992089e-19,0.0348738204623533,9.01536769590028e-19,0.00385885365381816,1.55461649907821e-19,0,0,0,0.115567701234003,0.00360038911385835,7.15198308779632e-20,0.017207529925605,0,0.00819502701825569,0,9.14508723170169e-20,2.01340892586327e-20,0,0,0.0327212176785348,0.060390535907419,0,0,0.204099616959771,0.0275935298095668,0.00214408261041189,0,0.00946740834520549,0,1.92881543879114e-18,2.41987795096233e-19,1.30350779823193e-17,0.0574149512915341,0.0666537180222052,0,4.78568172561028e-19,2.40565847468632e-20,0.0123681469021777,0,2.95065961488344e-19,0.116293041729388,1.05944528148037e-18,0.0380036181866124,0.0959623289972607,0,7.32624378921017e-18,0.0174369102311766,0.0174369102311767
"39","TCGA-OR-A5LS-01A",0.0562190999951673,9.37437739441281e-20,0,0.0147437912527848,0.0283415147600099,0,1.66871714773676e-19,3.19685322605536e-21,0.0252574633714547,3.95033033819347e-18,0,0.00515555888086832,0.01252081990862,2.77681156028983e-18,0.0269622525571043,0,0.058217043996553,0.0103280220684425,0.00232347952915536,0.0020119892870381,0.0328846851886636,0,0.000989858116511541,0.000106964913129233,8.28002835900376e-18,0,0,0.0332907089880462,0.0100581490876008,1.26201207082583e-19,0.00454097259108615,0.00273888881166024,0.000502292893455513,0.00229928286425676,0.000144425702261508,0.00153444119084327,0.00964147350750208,0,0.0314747418051165,2.61881200023008e-18,0,0.0102101446243022,0.137397941052821,0.0211296482541738,0.00479993818568926,0,0.0293478482730602,0.000150028310472013,3.93536605895771e-18,0.0093764899816935,0.0056662124712924,0.00500849661976802,0,0.0251544295237554,0.000823828150949035,0.0147435956791414,0.0125089745918053,0,1.23958789673296e-18,0.104031355377149,4.31317804199678e-19,0.0156716993733492,0.00982855312429999,0,0.01662978816339,0.0164423425943318,0.0330721307577218
"40","TCGA-OR-A5JC-01A",0.0686611363345715,0,0,0,0.0199231158363507,0,0,8.8993775078535e-19,0.0356444959624257,1.56035357899752e-18,0.00189072309331191,3.12098342015113e-19,1.14143625748083e-19,0,0.148089889936728,0.00965959581095992,0,0.00803445826770193,1.7707912989987e-19,0.0138037758329621,0.0873881263823345,8.31931451513432e-20,0.00748732784251234,4.54118058426926e-20,0.0666742937549989,0,0.00117505510635225,0.1581975114222,0.147785784948021,0,0.0314323505477276,0.0117409491475488,0.0144854413107819,0.00227496054830612,0.00311989385238299,0.000108352946139915,0.00425831366133014,0,0.0350761956236336,0.00688671024760292,1.20608487242104e-19,0,0.11699716700649,0.0415128142031974,1.17368788803273e-19,3.26992348334401e-18,0.0201381739286372,3.37362771371663e-20,0,0.00603435258352154,6.05377277547646e-18,0.0114553153507691,0.101249741815227,0.000234155299624297,0,0,0,0,5.41161584961258e-22,0.105772174773898,0,0.0281023621732881,0.013567283805755,2.40071511111982e-18,0.0191097458885959,0.0770312100686667,0.0961409559572626
"41","TCGA-OR-A5KZ-01A",0.0495437041956968,7.66227118775783e-19,0.0348514345216174,3.96817275427802e-18,0.00362329036414729,0.00498804218665088,1.29260524316641e-18,0,0,0,0.00189286411476155,0,0.000552209469719859,1.07428265628423e-18,0.031740533614768,0,0,0.0141674865889268,0,0.00118952351649919,0.100623066010536,1.06906742372227e-18,0.00584844514567265,6.53496190259798e-21,0.0095331253698499,8.4757180498377e-19,0.00179079723669979,0.210279060898219,0.049793249424713,0.000581716226101596,0.0514148301832279,1.0099538412325e-19,0.000908681555520722,6.01126618635228e-21,0.00418330964013722,0,0.000525749212604675,0,0.0331524160028843,1.8494107824555e-18,0,3.77614927335072e-19,0.33485298706022,0.0403523777020768,4.48074222831791e-20,6.22295632169574e-18,0.00674712679933525,6.0876026254581e-20,0,0.0264815113919568,2.75671155063158e-18,0.0129870117688219,0.156066391420962,0.00543573860207885,1.43784772348713e-19,0,0.0214131254250657,2.05872182132229e-20,0.00393530498076213,2.35215656330298e-18,1.94189736157515e-17,0.030683681954542,0.20449324447444,0,0.00358188877109094,0.0550780956901932,0.0586599844612841
"42","TCGA-OR-A5LG-01A",0.134009540269199,6.95889500969049e-21,0,0.00537722110651992,0.0718488551948358,0.000997015594255526,0,1.97008014408765e-18,0.0163426817425825,0.0403857099307973,8.09099910020957e-05,5.29831080742556e-21,1.50406490244727e-18,0,0.00562931079607393,0,3.51365007971009e-19,0.000303509468476856,2.29136435996792e-20,0.00874494717294461,0.0198005307989505,0,0.0395696592750777,0,0.105133438121294,0.00480157224370381,0.00158798711857108,0.0547692614718295,0.0853838387938964,0.00651360494007296,0.0055293744692612,0.028742789263768,0.0332121330755799,0.013627765477037,0.0132902285334617,3.50821910062526e-20,0.000942984670856645,0.000213061713274978,0.0194222899344412,0.0469814484613412,0.0207762191645103,1.30959566206514e-18,0.0877160150156726,0.0232709771418813,0.0116308542342591,0,0.00413639625122479,0,0,0.0250129998764089,0.0229405028237508,0.00901268403554972,0.08372805694731,0.00582294880656789,0,0,0.00728300978157325,0.00111148198660686,0,6.91946582105571e-18,3.30271743270111e-18,0.0067025137766517,0.0292298290160864,0,0.0512876034941363,0.0624669844601224,0.113754587954259
"43","TCGA-OR-A5KU-01A",0.00247297779853997,6.15345923809943e-21,2.81175593710226e-19,0.0108614356961788,0.0537258872760518,0,3.7779683843923e-19,0,0.0673777232079527,3.25547787725488e-18,0.00364491914299405,7.22870089586051e-19,0.00370184462432821,2.44074066706584e-18,0.00428063391863779,2.1987786697189e-19,0.00857151605123045,0.00793496449254091,0,0.00279018821681199,0.00449199726640061,0,0.0117345662725584,0,0.105229734293104,0,0.000789462689625516,0.000259797506481843,0.0928740047409693,0,3.22233546659822e-19,0,7.65241693875095e-05,0,0,0,0.00873322536805069,4.26725302670494e-19,0.00789366445336324,0,2.37646224339565e-19,0.00381746141078354,0.192650768356626,0,2.16924152002082e-21,9.82017526991801e-06,0.0305197894701885,7.80835275778002e-19,1.30591557611147e-18,0.00958177809649978,0,0.000838556921052886,0.218638405591901,0.0147819101526889,0,0,0.018691617630581,1.4359425202416e-20,1.66692775927402e-19,0.0814288842087897,1.341084265186e-18,0.00468248084197845,0.00525619053548556,3.57179809940129e-18,0.00910108260866056,0.0548608657797525,0.063961948388413
"44","TCGA-OR-A5JS-01A",0.0429825617854147,0,0,0.00177353093842904,0.0214605571172384,0.00136107546018412,0,5.25095868706946e-20,0.0342440558383393,0.0576384712749395,0,0.00238231515194495,0.00232973839679575,1.36673290680848e-18,0,0,0.00679493921258877,0,0,0.00121252591596448,0.0168998573457246,1.11739976657726e-18,0.0107511711297595,0,6.21708757093725e-18,1.88752650119093e-18,0,0.00740776769985489,9.35358607918134e-19,1.57882623796196e-20,0.00199955288142083,0.00295717401801344,0.00562152416628253,0.00223736879789071,0.00589407366737576,0,0.00213231420074709,0,0.0216996155838326,0.00838082343182832,2.70767394784219e-19,0.00977493640746562,0.0942971335574245,0.0169680350763917,2.82097591694521e-19,0,0.0149131345952017,2.87884585970873e-19,4.45346791080861e-18,0.0107343796153787,0.00973731718615943,0.011353067667556,0.0299876048556429,0.0150055779420397,7.99132287888341e-21,0.000611744922534556,0.0242612791087161,0.000169785903229817,4.55951459981505e-19,0.0344816341685534,4.40105672518878e-19,0.0147811460831358,0.0381476984156702,0,0.00947974646115179,0.00844992867286228,0.0179296751340141
"45","TCGA-OR-A5K2-01A",0.146705380872646,0,1.1675625867368e-17,0.00206094621463877,0.0832663166038733,0,4.17606041679018e-19,5.72745134184803e-18,0.00184381658464003,0.00474645845743305,3.94680180342807e-19,0,6.1748824238075e-19,1.6498797796093e-17,0.0504357911647286,1.84100462147021e-18,0.0215443248645668,0.00428035612392238,1.49933906636792e-18,0.00635274759908493,0.0565566813154182,4.78978839877663e-19,0.00465895960696753,0,0,0,0.00163951100513529,0.052723968600898,1.69610681273954e-18,0,0.0132438290168102,0.01668052701404,0.0281667669761504,0.00219939044831958,0.000992206437257347,9.54942746851718e-22,0.00605799430814533,1.79813664592838e-18,0.0358883675940763,0.0331798921571108,2.73615700120326e-18,0.000606185737517053,0.160164454282225,0.0371844559321617,0.00160792775132556,0,0.0174198987663356,9.6849063886257e-20,2.34136944811827e-17,0,0.0105540943108819,0.0592366616929966,0.0516018676194997,0,5.16092079804493e-18,0,0.044972956150444,3.48889665749179e-21,0.000162789595254281,0.0436221260755485,0,0.0249281631953086,0.0872642277038179,0,0.0173909515100141,0.0282783406577091,0.0456692921677232
"46","TCGA-OR-A5K6-01A",0.138773317412509,0,0,0.000368708217586197,0.037582229890953,2.90211914245858e-20,0.00246384293926917,0,0.0303743301443207,0.0392945221519916,0.00343164884068779,0.00809887774280984,5.27478261351178e-19,4.08429571824517e-18,0.0148505183529933,0,0.00721378207880346,0,0.00202421591535763,0.00542703398766157,0.0320699675683625,0,0.00352673409420809,6.63325410447557e-05,2.89405906082795e-18,0.0327974483973277,0,0.0152598261134951,0,8.64008602245947e-20,0.00829817991838648,0.0267621274185276,0.0291926423863189,0.0044074332238098,0.00989533907670374,0.000837615707553127,0.00316874864253121,0,0.0241495692520157,0,0.0123043302302454,0.00514068943879219,0.0432907118821608,0.0142558650224066,0.00598239680210837,1.93933459989643e-18,0.0116377774350841,2.96295920431325e-20,7.91685065416158e-18,0.0147335394457882,0.0238405496745877,0.0109067776018791,0.014907736985289,0.00787462081118353,0,0,0.0123207079877651,0,1.12562797655693e-19,0.0917232328436257,8.83696509047318e-19,0.0221530105092736,0,1.33263472895173e-18,0.0419042777823562,0.0160349837841812,0.0579392615665375
"47","TCGA-OR-A5KW-01A",0.029785640379326,4.13732590579704e-21,0,2.04682723668552e-18,0.0224748685830469,0,0,0,0.0093124141550444,0.00933363899349615,0.00207418314971737,0.00140940374540778,0,4.99952641493538e-18,0.0142376455131178,0.00825949788932246,0,0.0202986983475387,0.000765824615812621,0.00044565672434069,0.0242502616428976,4.07091498155593e-19,0.0145205785057814,0.000162455304144008,0.024862429299707,0.030263216922449,0.00238446690603013,0.102647907551053,0,2.1562093475647e-19,0.000491771772564417,0.00724700997891433,0.00697171607194495,0.00360064278133712,0.0014717425667428,0.000420417901493949,0.00891347987306049,0,0.00488010102462804,9.46520831735433e-20,1.44392462359808e-18,0,0.0621736410204334,0.00860147362172686,0.0103233978133373,2.82318304990591e-18,0.0324234575003916,4.30788088687823e-19,0,0.0488623204276713,0.00313437815384449,0.000839703883248844,0.00910994459377527,0.0103452481887606,2.68469111080945e-19,0.0124552196175175,0,0,0.000718543455760235,0.193119463868376,0,0.016427462322936,0.00244871535484963,0,0.00704920867693707,0.0245563454713023,0.0316055541482394
