"","ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"56","TCGA-OR-A5J8-01A",0.00813392807184885,0,0,0.124591494674603,0,0.13010095894076,0.00451361713146396,0.0278050356807372,0.0236166438960002,0,0,0.00145308707162348,0.0573032339511956,0,0.109443514416418,0.507815848051111,0,0,0.00522263811423927,0,0,0,0.005,0.21342813351941,1.01072606092651
"57","TCGA-PK-A5HB-01A",0.0186808728014549,0,0.0249237089054321,0.00721599327226496,0,0.294264139835858,0,0,0,0,0.0619546306699134,0,0.0153823208550683,0.0944772709473474,0,0.200016741845327,0,0.209731097018403,0.0424909777637759,0,0.0308622460851544,0,0.17,0.0494213689863289,1.06380732907906
"58","TCGA-OR-A5K9-01A",0,0.00753053048738247,0.022556679041378,0,0,0.251268803617226,0,0,0,0,0.0159582165998858,0.0292689546484216,0.0797360954499596,0,0,0.139146226795734,0.183605569091764,0.237944220288266,0.0329847039799821,0,0,0,0.455,0.0087445598580234,1.08078214389508
"59","TCGA-OR-A5JZ-01A",0,0.00719262457484756,0.00227287011949941,0.0813721728752629,0,0.29963369520859,0,0,0,0,0.040443704196392,0.0476355646613695,0.0294632808676814,0.0391182494890119,0.015519986924006,0.352638723235497,0,0.034143906249967,0.0505652215978756,0,0,0,0.18,0.0458460959328918,1.07194467755097
"60","TCGA-OR-A5JD-01A",0.0260804521683303,0,0.00203763148407556,0.133399677751706,0,0.234357508237536,0,0.00169307680169543,0,0,0,0.0822080945809135,0.177623470290612,0,0.0190431498087824,0.164620246580644,0.0190751143178975,0.00855694791747153,0,0.131304630060335,0,0,0.095,0.089219300874503,1.05656422424703
"61","TCGA-OR-A5JY-01A",0.0725281625871719,0,0,0,0,0.116724950163747,0,0.0246737599218302,0.0464735847301518,0,0,0.0388342957292138,0.18209178728759,0.0300286779915622,0,0.110508118262938,0,0.324741484524481,0.0324663140987774,0,0.00153057281028558,0.0193982918922512,0.14,0.0631117423581957,1.0700498907375
"62","TCGA-OR-A5LR-01A",0.030535899875359,0,0.0124548741549257,0.0423812799600135,0,0.398086420036389,0,0,0,0,0,0.0423690928590383,0.0828695496596352,0,0.0150232711270044,0.256085189922862,0,0.0362903963788022,0.0839040260259704,0,0,0,0.085,0.102347032335332,1.04269142155711
"63","TCGA-OR-A5LM-01A",0.0169664417153178,0,0,0.0469552900392419,0.00914806499647945,0.29914511731361,0,0,0,0,0.0415779015793075,0,0.0355805082295263,0,0,0.391898470028399,0,0.13646265765581,0.0222655484423079,0,0,0,0.25,0.0327194925154476,1.07636611082903
"64","TCGA-OR-A5LD-01A",0,0,0.031225868633608,0,0,0.196163822519161,0,0,0,0,0.0602245522703762,0.0422415322035571,0.182956907981943,0.124269660462299,0.0205949889492566,0.146394989196542,0,0.154638648097277,0.0412890296859809,0,0,0,0.545,0.00181668714216061,1.07930881673258
"65","TCGA-OR-A5KY-01A",0.0149658970754017,0,0.00271778519497712,0.0274725942567655,0,0.321074777175374,0,0,0,0,0.00177504199679143,0.0112462144574112,0.194622300141296,0,0.00943551063304945,0.298045265494567,0,0.0546815186319612,0,0.0278175718621555,0.0361455230802493,0,0.225,0.0372138692949375,1.06999329056617
"66","TCGA-OR-A5LA-01A",0.03714345709073,0,0.0177523724675128,0.113645529359106,0,0.272287089516305,0,0,0.00721220603048298,0,0,0.0400035016700484,0.0165551565131464,0,0.01801354024745,0.283989014809328,0,0.00341689292369095,0.189981239372199,0,0,0,0.01,0.173738219092474,1.01331643076771
"67","TCGA-P6-A5OF-01A",0.0248978169335585,0.0110893144431602,0,0.0494909972653764,0,0.28294281300952,0,0,0,0,0.0486685297902146,0,0.234447966374884,0.0310217095237694,0.00269955988615305,0.177531361396495,0,0.0837717394088303,0.0370079010346532,0,0.0164302909333848,0,0.405,0.0125761330507703,1.07349696089047
"68","TCGA-OR-A5LG-01A",0.0258745545969731,0,0.00987963076769086,0.0839668487753395,0,0.214105130211673,0,0,0,0,0,0.0478325829603039,0.0724011578460364,0,0.000326529829191275,0.461846852715508,0,0.0430959425687538,0.0406707697285302,0,0,0,0.14,0.0624071895435914,1.06532873185516
"69","TCGA-OR-A5J1-01A",0,0.0320839472311411,0.0106139490766011,0.0802140301956744,0,0.257931448079349,0,0.0173338862421433,0.0845721106621732,0,0.0732143495997779,0.000167787495357332,0.0567846596649941,0,0.000498578868151725,0.204818814722547,0,0.0304471109328591,0.134925605926089,0,0.010157029784012,0.00623669151912927,0.38,0.0147978491089099,1.07397179047924
"70","TCGA-OR-A5L4-01A",0.0144744200229369,0,0.0105415857187349,0.0337237875230137,0,0.347252913862334,0,0,0,0,0.0203355146909785,0.037543941444001,0.0863816891108764,0,0.0356577917790034,0.301902418436382,0,0.0264894401876544,0.0856964972240854,0,0,0,0.15,0.0550436341853778,1.05903192967633
"71","TCGA-OR-A5KX-01A",0,0,0.0122717349379857,0.0650431811080203,0,0.208195316292566,0,0,0,0,0.0216981702467543,0.0345710267454814,0.0962214094060579,0.142461449562079,0,0.297813343055109,0,0.0472813895437457,0.0744429791022009,0,0,0,0.24,0.0335339366085799,1.0719544350049
"72","TCGA-OR-A5K1-01A",0.000612553889871031,0.00317950756893629,0.00293093567731549,0.0340591866782605,0,0.458244643201838,0,0,0,0,0.0650828938188857,0.0653194520094867,0.0369892407441971,0,0.0519041499340954,0.174438774608958,0,0.0193550073236503,0.087883654544505,0,0,0,0.175,0.0478573638667344,1.081906795007
