"","ID","T_cells_MCPcounter","CD8_T_cells_MCPcounter","Cytotoxic_lymphocytes_MCPcounter","B_lineage_MCPcounter","NK_cells_MCPcounter","Monocytic_lineage_MCPcounter","Myeloid_dendritic_cells_MCPcounter","Neutrophils_MCPcounter","Endothelial_cells_MCPcounter","Fibroblasts_MCPcounter"
"1","TCGA-OR-A5JQ-01A",1.38161762447611,0.965045599847284,1.55049685217385,2.60559945195232,0.286406528506329,2.27611363073596,1.59965321238543,1.47004292429779,3.075506270981,5.97399342719846
"2","TCGA-OR-A5J8-01A",2.11093783420866,2.2503672444436,1.40523587393242,1.67296814820872,0.364845906388704,4.45354412633053,1.72225128183349,1.8047545617501,3.40147553528003,7.94101338006007
"3","TCGA-OR-A5JK-01A",1.41419769740191,2.03855021690045,1.17921557657988,2.38954442784697,0.826746460265781,1.99891770867732,1.25373992308067,1.37757476889022,2.12456400118445,3.399496924859
"4","TCGA-OR-A5LK-01A",1.00823830356006,0.764338631459083,0.997006276616397,1.84978841091535,0.30138805739611,2.50480196262621,2.07853113054882,0.984337254604298,2.15284744878137,2.79447263263722
"5","TCGA-OR-A5L5-01A",0.842252328473932,0.590737295634796,0.8705922030206,2.52247818803803,0.479220611752044,2.02632128523763,1.49443564075949,1.34851512218216,2.94881730731438,4.83750726565535
"6","TCGA-OR-A5JB-01A",2.23863066684246,2.78231874116672,2.32947573372872,1.18098026387596,1.07633927011526,3.90041183735084,1.56618874561298,1.92159327566583,1.80046819404976,4.48494381015812
"7","TCGA-OR-A5LA-01A",0.48296397693567,0.232794140393453,0.529807139930664,1.4328020889297,0.204707647958269,1.51368270318664,0.974253040242102,1.29035606550683,2.18500340048067,3.38198341617568
"8","TCGA-OR-A5KT-01A",1.10450396748525,0.749763757771311,0.994695842118227,2.66633714700428,0.456956656246887,2.94142951847131,2.2323835461891,2.36987896157816,4.11102406755103,6.0678128251235
"9","TCGA-OR-A5JI-01A",0.60895866238889,0.358338162739782,0.817997882463702,1.35057492945199,0.393977115119749,1.50126115407785,0.900331333724323,1.16164208656027,2.22350606584315,4.56475385020512
"10","TCGA-OR-A5LP-01A",0.735787653187253,0.267783597114648,0.905967042459123,1.63077947234157,0.266547836012112,2.61377462864888,1.52087426549819,1.33676642840384,3.23477018416696,4.98349746403482
"11","TCGA-OR-A5JO-01A",1.57527504512546,1.39078922834393,2.19737184589044,2.1266660946475,1.34062505957274,3.83749248192482,3.34429839286681,1.8552569185707,4.00570415037267,5.63159724113507
"12","TCGA-PA-A5YG-01A",0.957081974259022,0.833820780728961,0.928439457133466,1.67678189628759,0.34365875697516,2.7394664765685,1.64777360723756,1.11033517435837,2.85055137651441,3.51370533809128
"13","TCGA-OR-A5J6-01A",0.664599063541169,0.151998780854597,0.524742653845606,1.95214494269707,0.23827935027257,2.67687595422696,2.66785083701862,1.51673629420196,3.02889501878648,2.53252507480853
"14","TCGA-OR-A5K1-01A",0.538241598878443,0.190193669742055,0.678640862203596,1.09936944102645,0.471041563352952,1.34303167060133,1.22446853046442,1.3060190957078,3.43443521422716,3.99704585436779
"15","TCGA-PK-A5HA-01A",0.829618072320221,0.336860106892806,0.695599760153622,0.669286019110807,0.301492505102514,2.92523360980131,1.40882777496994,1.21880924427759,2.85101074348614,5.1350641050499
"16","TCGA-OR-A5LN-01A",0.514678024579297,0.48028102578699,0.914900255118317,1.01426326566183,0.227095129863561,1.39340571778266,0.820701636632893,0.928283060041565,1.86419562585484,2.45347359169142
"17","TCGA-OR-A5LH-01A",0.568686847251131,0.37183160012596,0.649390280092121,1.77074121478762,0.461011987262475,1.54170567073332,1.49324203702922,1.51640498394543,2.85822923475857,3.3981263669296
"18","TCGA-OR-A5JD-01A",0.64866383040696,0.367443802034437,0.657466703052091,0.675666230868224,0.14822454194255,1.96275199997884,1.41565420279189,1.29847679919039,2.02664716474881,2.38301154913209
"19","TCGA-PK-A5H9-01A",0.605575200864691,0.272328994765562,0.796040889979146,1.33202735551132,0.440186935797536,2.40981637916251,2.21493205520318,2.52514639394344,3.78594062944345,4.39290118396159
"20","TCGA-OR-A5LR-01A",0.533228596950734,0.230520231258257,0.496551679877161,1.43891235530347,0.482459084025251,1.83479581122468,2.07905476142634,1.75479971879898,3.05814996316722,4.22666183998599
"21","TCGA-OR-A5JR-01A",0.58116189318047,0.443155012429676,0.985885142781439,1.09337017128217,0.923309763773881,1.98572216807451,1.61644995057047,1.81029140124437,2.82792968443173,3.26984728426792
"22","TCGA-OR-A5L9-01A",0.301384332497299,0.146707122553971,0.321422380049674,0.989797517270936,0.123859169669038,0.810118194534987,0.61836222978985,0.706022458594533,1.16439594821725,1.93501930994576
"23","TCGA-OR-A5JV-01A",0.947078779723151,0.317793954057619,0.555759353572076,0.920637386410679,0.383575349290449,3.32504471452326,1.01092077941535,1.60912284097871,2.71205497091111,4.01201527676511
"24","TCGA-OR-A5JZ-01A",0.684106169321595,0.342755639022162,0.909933872908258,1.31161466155149,0.256220000341803,1.90600109936068,1.59753408150211,1.92591007005923,3.06278533473795,4.063252763236
"25","TCGA-OR-A5L4-01A",0.343779969333015,0.0515649513118539,0.400377706772327,0.851808749684612,0.211509062305332,1.53955137022969,0.991980260251979,1.52970364234582,3.3245789861217,4.36253195576358
"26","TCGA-OR-A5JT-01A",0.436937140725341,0.15439567862035,0.597253665636703,0.993741953194707,0.332403911436687,1.64274141883773,1.67367034574874,1.68256462088377,3.09958585980336,3.90615694669212
