"","ID","B_cells_quantiseq","Macrophages_M1_quantiseq","Macrophages_M2_quantiseq","Monocytes_quantiseq","Neutrophils_quantiseq","NK_cells_quantiseq","T_cells_CD4_quantiseq","T_cells_CD8_quantiseq","Tregs_quantiseq","Dendritic_cells_quantiseq","Other_quantiseq"
"37","TCGA-OR-A5J1-01A",0.0237734073634523,0,0.0647162370415267,0.0155133641042732,0,0.00935380224940531,0,0.00463191117695272,0.0286493221967191,0.0287094936552123,0.824652462212458
"38","TCGA-OR-A5JP-01A",0.0173349209712452,0.00355689919033003,0.0131837005484924,0,0,0.00970965681715307,0.00690411338838387,0.00181957745851184,0.0111648401727078,0.0987348929973908,0.837591398455785
"39","TCGA-OR-A5LS-01A",0.081190418660258,0,0.0057956332419598,0.0981953126406848,0,0.015621853169245,0,0.00183864572356099,0.0191387466838828,0,0.778219389880409
"40","TCGA-OR-A5JC-01A",0.0118884862691899,0.00310621824179006,0.02928083890761,0.0321094084665021,0.0122745585607209,0.0116971788832556,0.0511079612153476,0.00214814782655308,0.0103285987678759,0.00749997950012645,0.828558623361028
"41","TCGA-OR-A5KZ-01A",0.0121822080764329,0,0.0165095607145395,0.072857156819867,0,0.0200789426529484,0.0237816841918444,0.00151152230300275,0.00556290421835657,0,0.847516021023008
"42","TCGA-OR-A5LG-01A",0.00656406119114543,0.0114063257622337,0.0648102077022835,0.0311904282178816,0.00560247938466116,0.0253238200045698,0.0462601924893327,0,0.00675640703739265,0.00328329125918861,0.798802786951311
"43","TCGA-OR-A5KU-01A",0.041251748362654,0,0.0403994871510142,0.0235765923061607,0.0315649656759287,0.0288744526282446,0.0319802461329793,0.00113913326599153,0.017179877387937,0.00579564171414308,0.778237855374947
"44","TCGA-OR-A5JS-01A",0.0384513821944567,0.00213986086285825,0.0158999954997733,0.0144954511070983,0.0296167666123312,0.0140293075721172,0.0482933787676209,0,0.0053159360793947,0.0221488962868132,0.809609025017536
"45","TCGA-OR-A5K2-01A",0.187729435805986,0,0.0210814291737673,0,0,0,0,0,0,0.0523506135124107,0.738838521507836
"46","TCGA-OR-A5K6-01A",0.00297030281355728,0,0.0572568543783777,0,0.0127416161412049,0.00758512559746504,0.14996169344358,0.00364576598370962,0.0329861730313329,0.0158878839224771,0.716964584688295
"47","TCGA-OR-A5KW-01A",0.00343059520159872,0,0.0153603499875808,0.0745209254892643,0,0.0130111538589134,0.0759790201166976,0.00315611776125776,0.0135375379153554,0,0.801004299669332
"48","TCGA-OR-A5LL-01A",0.0128879184070097,0,0.0792847525479353,0.00189065806959797,0.0284638933976785,0.0301391821019456,0.0213983686687069,0.000400141813761944,0.0170447527487914,0,0.808490332244573
"49","TCGA-OR-A5JG-01A",0.0153972106151373,0,0.0489555732526376,0.0328102938442992,0.0132186050168498,0.00721049275381914,0.0452601564776915,0.00166788021314282,0.00632892123416465,0,0.829150866592258
"50","TCGA-OR-A5K5-01A",0.120425925742265,0,0.0221554113133798,0,0.01094727449322,0.0210946380436462,0,0,0,0.0416234130749997,0.78375333733249
"51","TCGA-OR-A5JY-01A",0.0129481928082798,0.0117482417137955,0.0478901590417811,0,0.0204158383632997,0.00903652845581697,0.0888933384151072,0,0.010022926393386,0.0176197497152709,0.781425025093263
"52","TCGA-OR-A5K8-01A",0.0119284985564701,0,0.0506542840768319,0.0333154079601964,0.0127306045211456,0.0143973422140904,0.0498859426628263,0.00649968256813088,0.0196434911185986,0.012526585170791,0.788418161150919
"53","TCGA-OR-A5J9-01A",0.025002796229661,0,0,0.0848511853338181,0,0.0112886638677876,0.0576974115223789,0.00335551907693868,0.0111212491162665,0,0.806683174853149
"54","TCGA-OR-A5JE-01A",0.118639347315556,0,0.0312000453879035,0,0,0.00244598119190013,0,0,0,0.0977335978945912,0.749981028210049
"55","TCGA-OR-A5J3-01A",0.0515600847156692,0,0.0419937103210806,0.0471343501149251,0.0104531968581262,0.0152824707476781,0.0518698291846057,0.000685158028034355,0.00644575326279275,0,0.774575446767088
"56","TCGA-OR-A5JM-01A",0.0181935107476756,0,0.0169357602793702,0,0,0.0030822908997429,0.143897018607975,0.00197458983733156,0.0439219616397696,0.0453809600696542,0.726613907918481
"57","TCGA-OR-A5J5-01A",0.0134597734583409,0,0.0128965675323865,0.133811723282269,0,0.0281166100597185,0.0382360916100546,0.0102532328014436,0.0167367588805191,0,0.746489242375267
"58","TCGA-OU-A5PI-01A",0.0225777634832156,0,0.0401150305586531,0.07390029052567,0,0.0234085522845136,0.0100775225657225,0.00880627070577308,0.0363421988464561,0,0.784772371029996
"59","TCGA-PK-A5HB-01A",0.0092871088447488,0,0.020644798916121,0,0.0267991854163014,0.0169496804283054,0.0319927214983625,0,0.00518697870376493,0.0224204997342607,0.866719026458135
"60","TCGA-OR-A5JF-01A",0.0263403747368493,0,0.0349287778349613,0.0273120877859232,0.00636059946299856,0.0172207109577475,0.0592789107995541,0.00315107702654058,0.0160838144013213,0.0259592915101749,0.783364355483929
"61","TCGA-OR-A5LM-01A",0.0109000540758003,0,0.0162726366595019,0.125282134820594,0,0.00417804705623603,0.0892735522606137,0.00542271121462137,0.0119443711170991,0,0.736726492795533
"62","TCGA-OR-A5JW-01A",0.0122829524677234,0,0.0808417410881791,0,0.0344826058335029,0.0156409846826036,0.0285498472085275,0.00173079285610263,0.0142315371666918,0.0125535279038672,0.799686010792802
"63","TCGA-OR-A5K9-01A",0.00576906012366745,0,0.0247377740491312,0,0,0.00151971805418106,0.106287715921575,0.00488767207468793,0.0396488136101951,0.0857249383249837,0.731424307841578
"64","TCGA-OR-A5KO-01A",0.0100957657688338,0,0.0683374615133335,0,0.0109348053573308,0.0190020899908207,0.0432419601415657,0.00100611907749003,0.00924744538016195,0.027730374550554,0.81040397821991
"65","TCGA-OR-A5L8-01A",0.0407866730181323,0,0.014631668642478,0.0302899032646179,0.0787114356963611,0.0243857969835454,0,0,0.00815707073488391,0,0.803037451659981
"66","TCGA-OR-A5J7-01A",0.112137845955318,0.00276084305088408,0.0281879982036967,0,0,0.00625879130093323,0,0,0.00419397214194703,0.0835077799104594,0.762952769436761
"67","TCGA-OR-A5LO-01A",0.0287332926783604,0,0.0202841171473866,0.0623098663124547,0.00275098026581435,0.0199790052396209,0.00620734574792411,0.00421253179324187,0.018713253842525,0,0.836809606972672
"68","TCGA-OR-A5KX-01A",0.00618787996298607,0,0.0205183995456385,0.0392787713942878,0.00677608370171908,0.00760276176498249,0.0384521050354663,0.00192238959632848,0.00760516851304028,0,0.871656440485551
"69","TCGA-OR-A5KV-01A",0.0348710759396759,0.0132697080932433,0,0.104549282997968,0,0.0253306689307444,0,0.00938514038392786,0.0223883132019696,0,0.790205810452471
"70","TCGA-OR-A5L3-01A",0.0394441268635987,0.00165347003432429,0.032019595650064,0.0405466250143786,0.016206964510172,0.0265570559291513,0.0351682311910363,0.00486945183799264,0.019893870082879,0.0166416324465824,0.766998976439821
"71","TCGA-OR-A5LB-01A",0.0164556244063461,0,0.0773678910531278,0,0.0314556738659908,0.00945847192596749,0.0233878841748078,0.00145411382760943,0.018388061150429,0.00677610452741026,0.815256175068311
"72","TCGA-OR-A5LE-01A",0.0873287155606656,0,0.0134097550019784,0.00349178869372517,0,0.0141867167846821,0.0491809279400384,0,0,0.0606077368955983,0.771794359123312
"73","TCGA-OR-A5K0-01A",0.0860238840543876,0,0.0472797020943917,0,0.0123284881588629,0.0327626338660685,0,0,0.00574380807286123,0.0437763455346517,0.772085138218776
"74","TCGA-OR-A5LD-01A",0.124144300081853,0,0.00444844473733271,0.0574835676840502,0,0.0157131560643585,0,0,0.000610035266313857,0,0.797600496166092
"75","TCGA-P6-A5OF-01A",0.0199727583062999,0,0.0380368253513117,0.0843429409081868,0,0.0147815510668468,0.0689125540282172,0.000895841650755437,0.014675505678906,0,0.758382023009476
"76","TCGA-P6-A5OG-01A",0.0117116819079174,0.0962577122277959,0.038974054218125,0,0.109160078944862,0.0133344932825299,0,0.0171269578403974,0.0227274970606513,0,0.690707524517721
