"","ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC"
"1","TCGA-OR-A5J2-01A",0.0177984289248719,0.0124031002995673,0.131265059916448,0.0295827418026696,0.149091570799884,0.00759665727782591,5.08276425850872e-10,0.652262440470457
"2","TCGA-OR-A5K5-01A",0.0119800017167616,0.00998616683424975,0.0922814558250819,0.0353884812927786,0.115488835172485,0.00682470706850034,1.27018065526747e-09,0.728050350819962
"3","TCGA-OR-A5JW-01A",0.00856746277137606,0.00923120174334495,0.179630019692274,0.000527835956859204,0.130100391624197,0.00729524866222616,1.85008779688064e-10,0.664647839364714
"4","TCGA-OR-A5L8-01A",0.00975993034211982,0.00868743559451771,0.149905283065359,0.0272124066851201,0.0975834357313554,0.00607610981793809,2.06567149616687e-10,0.700775398557023
"5","TCGA-OR-A5JT-01A",0.0116875109369654,0.00871329159439867,0.166153594902698,0.0162106321259486,0.137290171386319,0.00690056376198034,3.1825102382758e-09,0.65304423210918
"6","TCGA-OR-A5JO-01A",0.0201357720387119,0.0151352122249083,0.165070746530605,0.0711153073312596,0.17144668756111,0.0143502915298618,2.11261400479307e-07,0.542745771522143
"7","TCGA-OR-A5JP-01A",0.00927573122806062,0.0142801589644644,0.149567471185374,0.015963145116067,0.125734225424657,0.00748027041846825,2.79554896640852e-10,0.677698997383354
"8","TCGA-OR-A5JI-01A",0.0184533749157522,0.0143099758333142,0.100173472672878,0.042637225513327,0.157984162578747,0.00993158549916275,4.69400117999657e-10,0.656510202517418
"9","TCGA-OR-A5KO-01A",0.00597245332154065,0.0120614749596486,0.13203602193505,0.0147229563506997,0.108127431574774,0.00534373659625374,9.70465433375069e-10,0.721735924291568
"10","TCGA-OR-A5LE-01A",0.0115967011620263,0.0090015191459714,0.09898828859189,0.039608244259249,0.108896254574548,0.00474217089032027,1.6146510707282e-09,0.727166819761344
"11","TCGA-OR-A5JX-01A",0.0173032102472532,0.00804634061929244,0.0985292278984518,0.0336728449221712,0.151277301682128,0.00821147242699285,4.25121473660102e-10,0.682959601778589
