"","ID","Bcells_EPIC","CAFs_EPIC","CD4_Tcells_EPIC","CD8_Tcells_EPIC","Endothelial_EPIC","Macrophages_EPIC","NKcells_EPIC","otherCells_EPIC"
"42","TCGA-OR-A5JV-01A",0.00912772544019152,0.0110415607849746,0.204308624458412,0.0256620059571804,0.134367133975334,0.0134221875510081,5.04638963252547e-10,0.602070761328261
"43","TCGA-OR-A5JE-01A",0.0129400947379772,0.0109334903773063,0.0989348926458472,0.0325702819916544,0.144868332114579,0.0107581657759413,2.17605503012528e-10,0.688994742139089
"44","TCGA-OR-A5JR-01A",0.0123922236455451,0.00677066709019177,0.118754628484777,0.0380217635411545,0.129256416316292,0.00973778540633788,2.14316762430767e-11,0.68506651549427
"45","TCGA-OR-A5JB-01A",0.00938735089599685,0.0101039167302753,0.157518799432626,0.0771713743816234,0.0768694034127839,0.0154720995812653,0.00195321678583529,0.651523838779594
"46","TCGA-OR-A5K4-01A",0.00642158649694309,0.00585436266653379,0.168377506871958,0.0132689235336162,0.0888344031806237,0.0058444746652336,7.99626617938051e-10,0.711398741785465
"47","TCGA-OR-A5JC-01A",0.0134614706687937,0.0125103005047644,0.129665564880778,0.0249248651098376,0.137626310143421,0.00967178239210591,1.0980393904928e-09,0.672139705202261
"48","TCGA-OR-A5JS-01A",0.0079173349923263,0.00976658496071875,0.144830332690576,0.0271830141926818,0.108911649591382,0.00552186321902799,4.36079799805209e-10,0.695869219917207
"49","TCGA-OR-A5LS-01A",0.0135763521550905,0.00388697878647526,0.128015374338884,0.0164856538828153,0.104763672137356,0.00570091286810138,6.21384713666644e-11,0.727571055769139
"50","TCGA-OR-A5KV-01A",0.00847089348390065,0.0108348897339691,0.0938158150380988,0.0342778851447562,0.114366781076801,0.00604982289712987,1.39030905269745e-09,0.732183911235035
"51","TCGA-OR-A5JJ-01A",0.0193974109204512,0.0109601931907319,0.113231293056997,0.0420955326065596,0.104782045117885,0.00722493222128206,6.24464612202399e-10,0.702308592261629
"52","TCGA-OR-A5JF-01A",0.00962900970716801,0.0114341642021096,0.187918043054619,2.64833938353158e-07,0.131390606532875,0.00645179572137317,1.4863755819281e-10,0.653176115799279
"53","TCGA-P6-A5OG-01A",0.0166962296975396,0.0203042355030823,0.159565017705639,0.0720165465922472,0.194569469903408,0.0116480511572468,0.000191032105460026,0.525009417335377
"54","TCGA-PA-A5YG-01A",0.0201225074657508,0.0105895801732505,0.133709008421549,0.0478944175905195,0.154479005083626,0.0129823617563774,8.2730076332262e-11,0.620223119426197
"55","TCGA-OR-A5KZ-01A",0.0134012001803276,0.014779870546272,0.10253614407555,0.0364162849828616,0.140418802749405,0.0078625161273473,5.19713643130568e-10,0.684585180818523
"56","TCGA-OR-A5J8-01A",0.0200016301275638,0.0233956729970287,0.12092911142232,0.0776556443446563,0.148057691755333,0.0149999343931158,6.99332472648051e-09,0.594960307966658
"57","TCGA-PK-A5HB-01A",0.0114225424767466,0.0119040692839388,0.16432228608431,0.00565357401268755,0.14107491222198,0.00560040921751947,2.08887836006444e-10,0.66002220649393
"58","TCGA-OR-A5K9-01A",0.00794689113630982,0.00988401074260703,0.163962043379941,0.00638387989436823,0.0969250518562553,0.00707740378105879,5.87720044614947e-10,0.70782071862174
"59","TCGA-OR-A5JZ-01A",0.0191058885518044,0.00988393608391414,0.162338958345076,0.0246390752656809,0.128324992020562,0.00896071022146663,2.1492403133987e-10,0.646746439296572
"60","TCGA-OR-A5JD-01A",0.0109791131856492,0.0058861372529128,0.114305112027557,0.0349508171884173,0.128410318556011,0.0133467071037386,1.36347355347094e-11,0.692121794672079
"61","TCGA-OR-A5JY-01A",0.0197956086966603,0.0100650790505664,0.117489297013906,0.0262427936735766,0.120068321233514,0.00865010481949271,3.18303032275332e-10,0.697688795193981
"62","TCGA-OR-A5LR-01A",0.0084764485523608,0.0100496311124421,0.206501600182793,0.00954623006357513,0.127352188789549,0.00929216658857658,3.58757467315045e-11,0.628781734674828
"63","TCGA-OR-A5LM-01A",0.0133748163660861,0.0102076535662629,0.119980670503986,0.024387595927489,0.125588274869907,0.00894270598614856,1.37392536786846e-10,0.697518282642728
"64","TCGA-OR-A5LD-01A",0.00821731078399926,0.0104920598422799,0.0839764804532493,0.0366561459584054,0.11167593373485,0.00400002370158071,5.66884333779193e-09,0.744982039856792
"65","TCGA-OR-A5KY-01A",0.00795995398954928,0.0144854660046979,0.129595158097812,0.0165410401912313,0.126840038182567,0.0107463232899871,6.3526969851751e-10,0.693832019608885
"66","TCGA-OR-A5LA-01A",0.0212739009342158,0.0137074136129334,0.157709365938708,0.0314602047812518,0.173418038675536,0.0153617629351754,1.99129636457995e-07,0.587069113992543
"67","TCGA-P6-A5OF-01A",0.0100116975943924,0.0135599321871538,0.13116872485018,0.0213099061169045,0.126510331185688,0.00743706358772425,1.23380134213117e-09,0.690002343244156
"68","TCGA-OR-A5LG-01A",0.00963943011443837,0.0128342894227762,0.089114371792892,0.0489460200513722,0.122338525831492,0.0118869139280537,1.11409256864044e-10,0.705240448747567
"69","TCGA-OR-A5J1-01A",0.00835323878368657,0.00629894573176884,0.0962259232531514,0.0448097328467371,0.126364742061647,0.0106646607591687,2.05694349509491e-10,0.707282756358146
"70","TCGA-OR-A5L4-01A",0.0144372692170844,0.0136133423941095,0.151460414570541,0.0163638611404651,0.172128756293466,0.0090354295238639,2.45859302865279e-10,0.622960926614611
"71","TCGA-OR-A5KX-01A",0.0112956117996962,0.00522335904831329,0.125166323472613,0.025462224879733,0.138126676271186,0.00852134683376617,8.14257597439989e-10,0.686204456880435
"72","TCGA-OR-A5K1-01A",0.0182057911475833,0.01011146403541,0.148527655125859,0.0250408853387767,0.174279842438269,0.00912298792596825,1.38437872847376e-10,0.614711373849696
"73","TCGA-OR-A5L9-01A",0.013182786530907,0.0112401649819189,0.137518933928668,0.0259576440254587,0.14149375373584,0.0188113951314961,3.80630169580971e-09,0.65179531785941
"74","TCGA-OR-A5KT-01A",0.0419843937237323,0.0159190432902158,0.177212541038111,0.0457845015067231,0.189397501046102,0.0118981377964307,1.07499125558768e-10,0.517803881491186
"75","TCGA-OR-A5J6-01A",0.011148769352407,0.00540555222176066,0.129742749138395,0.0431803879732271,0.157554192665734,0.0138830977093927,7.20053182026128e-08,0.639085178933765
"76","TCGA-OR-A5KU-01A",0.0116511589343564,0.0106769432594441,0.111633803106567,0.0271752079663855,0.0864619046700691,0.00599475965791814,9.5585501715737e-11,0.746406222309674
